"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"locus282","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus286","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.533333333333333,0,1
"locus291","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,0.333333333333333,2
"locus292","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus296","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus301","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus314","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus321","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.533333333333333,0,1
"locus322","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus323","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,0.333333333333333,1
"locus329","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,0.333333333333333,1
"locus332","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus349","In-water, Indonesia",0,3,0,0,NA,NA,NA,0,1
"locus358","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus359","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus360","In-water, Indonesia",2,1,0.666666666666667,2,1,1.5,0.666666666666667,0,1
