Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	311	31	111	49	72	199	46	354	58	205	100	87	39	131	77	X	8	293	11	493	300	169	87	94	9	35	X	36	32	43	11	56	110
	504	166	226	200	64	511	155	522	291	556	275	218	202	226	249	X	21	493	19	672	424	320	149	279	28	112	X	113	99	96	37	138	198
	412	81	166	106	42	387	131	541	126	282	198	147	152	232	156	X	16	324	11	487	723	173	85	183	10	89	X	61	71	4	23	84	201
	560	57	240	60	98	222	45	804	51	301	146	152	43	211	93	X	11	449	20	1153	786	273	100	94	12	66	X	53	40	5	5	116	208
	236	263	153	521	63	385	390	145	458	294	169	89	212	349	171	X	111	258	33	302	142	467	108	290	70	98	X	85	141	75	65	81	110
	644	87	289	114	66	308	72	1038	143	448	208	214	82	226	123	X	3	598	19	1552	877	271	133	159	14	88	X	74	71	32	22	104	236
	364	34	147	44	75	209	34	549	52	204	94	128	39	117	59	X	2	270	12	621	406	180	69	69	9	40	X	37	33	7	8	84	122
	287	122	146	140	42	287	129	248	182	343	163	74	101	192	129	X	39	267	12	364	330	139	83	151	14	64	X	46	52	10	30	69	113
	291	90	114	131	37	445	143	297	174	216	172	129	127	221	214	X	20	209	10	285	283	147	95	127	7	68	X	44	38	2	31	40	87
	554	55	236	85	64	311	61	831	106	347	148	163	67	196	108	X	10	509	14	1441	786	299	135	125	6	64	X	45	38	8	11	140	163
	256	36	112	61	35	145	59	182	75	215	113	66	57	113	80	X	10	223	5	292	255	93	53	79	9	36	X	22	31	4	10	37	69
	271	38	155	58	45	128	54	186	74	257	128	40	66	114	62	X	12	208	5	345	255	99	50	51	7	33	X	19	26	18	9	36	107
	676	69	256	106	31	394	65	1119	127	427	136	218	90	247	107	X	4	531	13	1787	921	218	76	146	3	84	X	57	102	98	9	150	278
	585	105	309	177	81	533	179	527	257	638	254	154	179	371	229	X	24	505	13	799	847	262	143	231	14	89	X	62	108	13	35	136	269
	X	X	X	1	X	X	X	X	X	X	X	X	X	X	1	X	X	1	X	1	3	X	1	X	X	X	X	X	X	X	X	X	X
	424	108	233	189	69	453	125	403	245	529	186	176	124	213	181	X	31	444	22	625	471	248	139	195	21	102	X	64	100	11	29	113	177
	559	57	246	95	55	367	75	855	122	480	174	137	79	257	120	X	6	511	23	1600	869	257	112	165	8	77	X	51	61	14	21	195	249
	238	41	138	70	43	183	80	319	83	226	142	83	77	161	103	X	9	241	6	353	382	124	60	89	8	40	X	23	34	31	17	58	88
	209	141	165	213	40	350	172	132	260	234	167	91	163	200	126	X	94	163	5	226	169	222	83	135	34	76	X	57	87	3	44	59	77
	289	30	78	52	7	435	152	487	110	71	251	135	158	267	209	X	18	126	5	41	509	185	18	168	1	39	X	58	102	116	25	51	151
	378	44	187	69	50	223	38	505	97	331	126	124	51	187	75	X	7	350	11	754	485	188	85	109	9	48	X	38	48	16	11	81	144
	428	101	211	151	62	454	157	356	169	394	211	108	148	202	229	X	37	304	9	416	345	226	126	226	21	94	X	35	99	6	28	116	176
	161	6	10	56	1	1697	280	1948	115	7	122	594	225	552	426	X	22	153	13	16	603	374	21	626	2	145	X	153	167	295	72	178	260
	164	39	55	49	17	145	49	244	45	127	87	59	57	82	70	X	7	153	5	243	255	90	53	61	4	33	X	27	28	4	9	29	84
	316	65	145	86	43	263	59	265	98	286	129	44	68	136	121	X	14	232	14	387	263	147	78	104	14	52	X	29	67	4	18	44	120
	348	49	152	86	68	227	78	280	83	286	156	81	57	128	126	X	17	281	9	406	412	165	99	94	6	54	X	32	43	5	21	38	123
	X	1	2	1	X	3	X	2	X	X	X	X	1	1	X	X	X	1	X	1	2	X	X	X	X	X	X	X	X	X	X	X	X
	119	27	54	49	8	196	51	125	43	110	59	45	40	87	77	X	12	74	4	110	102	55	31	66	4	36	X	12	35	1	10	37	49
	558	60	220	46	77	257	84	1234	105	332	119	137	67	269	93	X	9	465	18	1213	370	290	140	128	10	66	X	49	37	65	13	80	200
	482	132	276	177	74	466	192	447	194	463	318	145	156	241	269	X	31	414	14	453	476	327	130	279	14	142	X	44	102	2	43	93	169
	356	40	125	45	49	178	31	677	64	241	94	114	35	145	71	X	4	336	19	996	482	234	47	87	11	30	X	40	22	4	6	86	130
	385	91	197	122	71	308	105	423	122	319	214	86	103	209	162	X	28	330	5	426	329	237	114	141	14	82	X	41	75	54	23	70	134
	106	49	75	56	3	159	72	142	69	121	84	32	84	72	55	X	8	108	X	86	39	99	21	37	3	37	X	18	29	3	20	15	46
	311	102	200	182	23	518	228	294	199	369	243	86	225	249	242	X	37	296	3	215	331	189	59	170	14	66	X	59	173	11	62	51	119
	442	102	202	148	63	498	128	420	225	439	235	137	132	193	187	X	19	399	10	634	535	239	133	194	8	83	X	58	106	14	21	120	188
	321	66	176	135	7	251	98	216	161	340	241	30	152	191	128	X	25	288	1	86	136	192	28	82	2	36	X	38	71	11	13	34	73
	625	77	285	120	89	476	113	851	144	519	183	141	121	255	170	X	5	553	24	1232	793	308	136	189	18	89	X	75	94	19	19	162	276
	1	X	X	5	X	X	X	X	X	1	X	1	X	2	X	X	X	X	X	X	X	3	X	X	X	X	X	X	X	X	X	2	X
	563	29	215	84	100	244	74	766	93	340	154	88	64	197	105	X	4	446	14	975	511	301	128	121	13	67	X	58	48	8	9	109	222
	587	62	224	136	19	577	155	577	186	614	341	55	159	205	215	X	9	396	4	181	299	269	53	203	5	92	X	63	120	17	33	56	122
	396	52	106	98	13	692	173	929	133	247	290	149	174	277	266	X	19	244	13	109	516	267	35	244	6	76	X	79	164	17	50	171	234
	387	62	188	104	57	233	76	350	116	308	195	74	83	148	107	X	10	289	10	439	371	202	85	118	12	65	X	35	63	8	15	74	141
	335	63	177	119	46	398	111	360	146	337	179	80	100	183	157	X	20	262	12	477	336	200	102	150	10	65	X	39	55	8	16	79	140
	44	6	13	32	X	331	42	307	21	27	49	127	35	78	66	X	X	100	5	184	78	59	25	66	X	42	X	30	34	8	9	46	53
	181	79	91	95	19	141	72	115	107	186	101	42	67	79	78	X	47	125	4	137	162	88	36	89	10	36	X	26	47	7	21	22	66
	643	51	292	86	46	235	50	897	99	441	159	171	55	181	108	X	3	522	20	1437	705	315	105	136	7	43	X	58	56	13	3	90	225
	588	68	291	107	98	432	64	844	151	482	166	205	90	289	140	X	13	549	22	1301	831	339	121	163	14	105	X	58	81	5	17	96	268
	546	59	346	95	95	370	83	1050	168	567	172	245	172	356	143	X	17	409	21	1106	857	299	141	184	17	103	X	63	108	61	28	170	289
