"","IsabelSI-South","PNG","Malaysia","In-water, CA","Bird's Head-Summer","Bird's Head-Winter","In-water, Indonesia","HaevoSI-Winter","HaevoSI-Summer"
"z0062717",0.0417452376043392,0.010077771917263,3.78115917694959e-10,0.0242172945173192,0.577989876302541,0.34167279530214,1.05191835924075e-05,0.00204415649364206,0.00224234830104732
"z0062718",0.0519014154857672,0.540250499548524,2.08757154395508e-09,0.0019521801335061,0.126097268454964,0.279756492241149,1.00265610158337e-06,3.35352261722417e-05,7.60416624409575e-06
"z0062720",0.0107964897190241,0.000183551796526358,1.2205926411711e-13,0.359725231297346,0.100268209882573,0.521817289237791,6.3140123111002e-08,0.00719340127812618,1.5763648367836e-05
"z0062721",0.0814671356141658,0.00386860693685775,0.000510095548600887,0.00741701347669752,0.0491130514547004,0.857234777965282,4.21261421420653e-08,0.000387104397742268,2.1724798106534e-06
"z0062724",0.145671642014992,0.141088939587146,2.83372005779163e-08,1.41972398058847e-05,0.0953135556423541,0.610588140333101,1.08031898724388e-07,0.000312465934289263,0.00701092287921274
"z0062725",0.184793302059125,0.00229226196274577,5.0311330652904e-06,0.00447207221636597,0.42237693144345,0.364834584710021,2.08571442379474e-08,0.0212256172863665,1.78331717254295e-07
"z0062726",0.253039382700954,0.0190923420126649,9.21164616827351e-05,0.345057646842744,0.0794453876743903,0.293935252970853,5.48051376541022e-08,0.00921466258394706,0.000123153947626781
"z0062727",0.0368021499054947,0.00014753433960444,1.80771680220292e-09,0.00603925161178555,0.0403644381458507,0.916349614761443,4.9091652495511e-09,0.000296529795755082,4.74723184175508e-07
"z0062729",0.0453075522849069,1.74462610003684e-05,4.144840228388e-12,0.00685465436251357,0.387695346380588,0.556957412611935,0.000482908609284495,0.00268467362529725,5.86033023890907e-09
"z0062730",0.0528980317721338,0.000513334091463809,1.80056894238653e-10,0.347610288831773,0.185594052749186,0.411091485755196,0.000376564592206481,0.0019157169363432,5.25091641358399e-07
"z0062731",0.0881337329753302,0.000111068812925578,1.08207525292539e-09,0.00458867631162594,0.274232621981021,0.632715498993984,6.49411251153011e-07,0.000217362814345664,3.87617441451755e-07
"z0062735",0.0757475937863148,0.00643036146406132,1.67921336819412e-12,0.0320401714797139,0.700132274841147,0.154282443764669,2.2822978441804e-06,0.0313626369480343,2.23541653614288e-06
"z0062736",0.108994076693118,0.00565249601960776,2.06811789001889e-08,0.0054262772039339,0.773756734135926,0.105740636593406,1.84868781991395e-05,0.000410823998894045,4.47795736063549e-07
"z0062737",0.199996334691537,0.222911658965463,6.6352197742446e-09,0.0134059091982609,0.0956657627338749,0.418890502606574,1.03574750516661e-08,0.0491295615819964,2.53229598155755e-07
"z0062738",0.131096513769768,0.00144965678404061,1.43417833460519e-08,0.000278929192803865,0.23027411340444,0.631160309863959,3.3214947349119e-10,0.00519627987963601,0.00054418243142026
"z0062740",0.366830355266546,0.00230301936236475,3.25279523266873e-11,0.05612622413266,0.266450414511124,0.288653658449791,6.0989006697909e-09,0.0195441534390257,9.21687070602321e-05
"z0062742",0.0125790699402359,8.07831013772561e-05,4.57539555234462e-11,0.00025637409304202,0.683223037395885,0.303647558224069,2.06713817000339e-10,0.000161360926752891,5.18160661700219e-05
"z0062743",0.263578041217228,0.00233000728520265,1.07965193199838e-09,0.00142906555319674,0.118458721829729,0.609385548369738,1.34217087777482e-07,0.00317667999964543,0.0016418004485207
"z0062744",0.29607230600189,0.202361592886473,1.1428177049064e-05,0.000126646410998744,0.00136022628868645,0.301560900012189,5.32919342687173e-09,1.34314568705791e-05,0.19849346343665
"z0062751",0.112225447690395,0.000924569225392658,1.12019822426982e-10,9.9465933729928e-05,0.0557624886187618,0.822909888341546,1.12159713994068e-06,0.000534808804761041,0.00754220967625329
"z0062752",0.0302618551452613,0.0155794911551254,3.01241625482545e-11,0.0399269031150386,0.331957050760204,0.578042858968719,8.95527064068826e-08,0.00419863626886448,3.31150039570879e-05
"z0062757",0.268173998612343,0.001354021609481,1.17182161709172e-07,0.0101921134246166,0.220391622618605,0.49927349640874,2.80021447160618e-08,0.000592444131778929,2.21580101300968e-05
