"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.In-water, CA_adj","p.val.In-water, Indonesia_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"locus239","locus274",1,0.29843,NA,NA,1,1,0.0306,NA,0.715512,1
"locus248","locus282",0.041076,1,1,NA,0.70855,NA,1,NA,1,1
"locus264","locus291",1,1,NA,NA,1,NA,0.00266,NA,1,1
"locus274","locus322",1,0.01032,NA,NA,1,NA,1,NA,0.633624,1
"locus282","locus321",1,0.679976,NA,NA,1,NA,1,NA,0.038,1
"locus296","locus329",0.747088,0.03299,NA,NA,1,NA,1,NA,1,1
"locus314","locus322",1,0.033372,NA,NA,1,1,1,NA,0.27084,1
"locus314","locus323",0.0113,1,NA,NA,0.567736,NA,1,NA,0.6735,1
"locus323","locus360",1,1,NA,NA,1,NA,0.00038,NA,1,1
"Dc01018","Dc01661",1,1,1,1,1,1,1,1,1,0
"Dc01018","Dc01707",1,1,1,1,1,1,1,1,1,0
"Dc01018","Dc01784",0.425432,1,1,NA,1,NA,1,1,1,0
"Dc01018","Dc02951",1,1,1,NA,1,NA,1,1,1,0
"Dc01018","Dc03456",1,1,1,NA,1,NA,1,1,1,0
"Dc01018","Dc03556",1,1,1,NA,1,NA,1,1,1,0
"Dc01018","Dc06503",1,1,1,NA,1,NA,1,NA,1,0
"Dc01018","Dc07300",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc07937",0.364812,0.364812,NA,NA,0.928136,NA,1,1,1,0
"Dc01018","Dc08054",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc08189",1,0.99994,NA,NA,1,NA,1,1,0.791352,0
"Dc01018","Dc08463",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc08865",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc10003",0.93124,NA,NA,NA,1,NA,1,1,NA,0
"Dc01018","Dc10390",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc10878",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","Dc10885",0.677232,0.98883,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc11203",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc11714",0.93354,1,NA,NA,1,1,0.161658,1,1,0
"Dc01018","Dc13159",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc13592",1,1,NA,NA,1,NA,1,1,0.713316,0
"Dc01018","Dc14022",0.05016,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc14945",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc16747",1,1,NA,NA,1,NA,0.384444,1,1,0
"Dc01018","Dc18951",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc20232",1,0.839734,NA,NA,1,1,1,1,1,0
"Dc01018","Dc22883",1,1,NA,NA,1,1,1,NA,1,0
"Dc01018","Dc22887",1,1,NA,NA,0.855708,NA,0.855708,1,1,0
"Dc01018","Dc27955",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","Dc28124",1,0.822036,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc28776",1,1,NA,NA,0.741456,NA,1,1,1,0
"Dc01018","Dc30071",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc31007",0.77104,NA,NA,NA,1,NA,1,NA,1,0
"Dc01018","Dc33714",1,1,NA,NA,0.675228,NA,1,1,1,0
"Dc01018","Dc33907",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc34902",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc35779",1,1,NA,NA,1,1,1,1,1,0
"Dc01018","Dc36571",1,1,1,NA,1,NA,0.857178,1,1,0
"Dc01018","Dc36616",1,1,NA,NA,1,1,1,1,1,0
"Dc01018","Dc40235",1,1,NA,NA,1,1,1,1,1,0
"Dc01018","Dc41234",1,0.959856,NA,NA,1,NA,NA,NA,1,0
"Dc01018","Dc47572",0.76483,1,NA,NA,1,NA,0.43836,1,1,0
"Dc01018","Dc47935",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc48207",1,1,NA,NA,1,1,1,1,1,0
"Dc01018","Dc48950",1,1,NA,NA,1,1,1,1,1,0
"Dc01018","Dc49184",0.962124,0.950194,NA,NA,1,1,0.962124,1,1,0
"Dc01018","Dc51020",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc52523",1,0.5832,NA,NA,1,NA,0.5832,1,1,0
"Dc01018","Dc55481",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","Dc58248",1,0.307404,NA,1,1,NA,1,NA,1,0
"Dc01018","Dc62188",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","Dc67011",1,1,1,1,1,1,1,NA,1,0
"Dc01018","locus003",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus004",1,1,NA,1,1,NA,0.8211,NA,0.059652,0
"Dc01018","locus005",1,1,1,1,1,NA,1,NA,1,0
"Dc01018","locus006",1,1,NA,1,1,NA,0.972408,NA,1,0
"Dc01018","locus008",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus013",0.962748,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus014",1,1,NA,1,0.853344,NA,1,NA,1,0
"Dc01018","locus022",1,1,1,1,1,NA,1,NA,0.063336,0
"Dc01018","locus024",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus025",0.99925,1,NA,1,0.862812,NA,1,NA,1,0
"Dc01018","locus027",1,0.538644,NA,NA,1,NA,NA,NA,NA,0
"Dc01018","locus030",1,1,NA,NA,1,1,1,NA,0.5568,0
"Dc01018","locus035",1,1,1,NA,1,1,0.586544,NA,1,0
"Dc01018","locus038",1,1,1,NA,0.792918,1,1,NA,1,0
"Dc01018","locus039",1,0.23557,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus040",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus041",1,0.62948,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus045",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus047",0.42999,1,NA,NA,0.791464,NA,1,NA,1,0
"Dc01018","locus048",0.46833,1,NA,NA,0.559384,NA,1,NA,0.817476,0
"Dc01018","locus053",1,1,NA,NA,0.42181,NA,1,NA,0.580248,0
"Dc01018","locus055",0.60131,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus056",1,1,1,1,1,NA,1,NA,1,0
"Dc01018","locus058",0.453696,0.093786,1,1,1,NA,1,NA,1,0
"Dc01018","locus060",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus061",1,NA,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus062",1,0.73978,NA,1,1,NA,0.085908,NA,1,0
"Dc01018","locus064",1,1,NA,1,1,1,1,NA,1,0
"Dc01018","locus065",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus073",0.300168,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus074",1,0.139762,1,1,0.748248,NA,1,NA,1,0
"Dc01018","locus076",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus077",1,1,NA,1,0.1764,NA,1,NA,1,0
"Dc01018","locus080",0.609672,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus083",0.669496,NA,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus088",1,1,NA,NA,1,NA,1,NA,0.15354,0
"Dc01018","locus093",1,1,1,NA,1,NA,1,NA,1,0
"Dc01018","locus096",1,0.842086,1,NA,0.86622,1,1,NA,1,0
"Dc01018","locus098",0.33989,1,NA,NA,1,NA,1,NA,0.8548,0
"Dc01018","locus100",1,1,1,NA,1,NA,1,NA,1,0
"Dc01018","locus106",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus116",0.30067,0.94212,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus119",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus120",0.55011,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus128",0.94976,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus129",0.063648,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus130",1,NA,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus134",0.54112,1,NA,NA,1,1,0.342924,NA,1,0
"Dc01018","locus135",1,0.17458,NA,1,1,1,0.181428,NA,1,0
"Dc01018","locus137",1,0.92659,NA,1,0.861252,NA,1,NA,1,0
"Dc01018","locus139",1,1,NA,1,1,NA,0.608628,NA,1,0
"Dc01018","locus140",1,1,NA,1,1,NA,0.60486,NA,1,0
"Dc01018","locus146",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus148",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus151",1,NA,1,0.995232,1,NA,1,NA,1,0
"Dc01018","locus157",1,NA,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus161",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus165",1,1,NA,NA,0.33639,NA,1,NA,1,0
"Dc01018","locus170",1,0.799288,1,1,1,NA,1,NA,1,0
"Dc01018","locus176",0.80481,NA,NA,NA,1,NA,1,NA,0.724024,0
"Dc01018","locus184",1,1,1,1,1,NA,1,NA,1,0
"Dc01018","locus186",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus188",1,1,NA,1,1,NA,1,NA,1,0
"Dc01018","locus189",1,1,NA,1,1,NA,1,1,1,0
"Dc01018","locus190",1,0.1848,NA,NA,0.33381,NA,0.33381,1,1,0
"Dc01018","locus191",1,NA,NA,NA,1,NA,1,1,0.07548,0
"Dc01018","locus192",1,1,NA,NA,0.85428,NA,1,1,1,0
"Dc01018","locus195",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","locus202",1,1,1,NA,1,NA,0.264908,1,1,0
"Dc01018","locus215",1,NA,NA,NA,1,NA,1,1,1,0
"Dc01018","locus227",1,0.46776,1,NA,1,NA,0.396494,1,1,0
"Dc01018","locus231",1,1,1,NA,1,NA,1,NA,1,0
"Dc01018","locus235",1,1,NA,NA,1,NA,0.474864,1,1,0
"Dc01018","locus236",1,1,NA,NA,1,NA,1,1,1,0
"Dc01018","locus237",1,0.36846,NA,NA,1,NA,0.88805,1,0.88805,0
"Dc01018","locus239",1,1,NA,NA,0.173928,NA,1,1,1,0
"Dc01018","locus248",1,1,NA,NA,1,NA,0.150468,1,0.32856,0
"Dc01018","locus256",1,0.267012,NA,NA,1,NA,1,1,1,0
"Dc01018","locus263",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus264",1,1,NA,NA,0.14502,NA,1,NA,1,0
"Dc01018","locus274",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus280",1,0.48028,NA,NA,1,NA,0.48028,NA,1,0
"Dc01018","locus282",1,0.81939,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus286",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus291",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus292",0.7553,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus296",1,0.71274,NA,NA,0.71274,NA,1,NA,1,0
"Dc01018","locus301",1,1,NA,NA,0.19738,NA,1,NA,1,0
"Dc01018","locus314",0.45087,0.86212,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus321",0.57836,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus322",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus323",1,1,NA,NA,1,1,1,NA,1,0
"Dc01018","locus329",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus332",0.68437,1,NA,NA,1,1,0.637872,NA,1,0
"Dc01018","locus358",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus359",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01018","locus360",1,0.806952,NA,NA,1,NA,1,NA,0.44947,0
"Dc01661","Dc01707",1,1,1,NA,1,1,1,1,1,0
"Dc01661","Dc01784",1,1,1,NA,1,NA,0.525336,1,0.080374,0
"Dc01661","Dc02951",1,1,1,NA,1,NA,1,1,0.345912,0
"Dc01661","Dc03456",1,1,1,NA,1,NA,1,1,0.892668,0
"Dc01661","Dc03556",1,1,1,NA,1,NA,1,1,1,0
"Dc01661","Dc06503",0.909816,0.98561,1,NA,1,NA,1,NA,1,0
"Dc01661","Dc07300",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc07937",1,1,NA,NA,1,NA,1,1,0.694572,0
"Dc01661","Dc08054",1,0.181764,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc08189",1,1,NA,NA,1,NA,0.78918,1,1,0
"Dc01661","Dc08463",0.710412,1,NA,NA,1,NA,0.710412,1,1,0
"Dc01661","Dc08865",0.989748,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc10003",0.887408,NA,NA,NA,1,NA,1,1,NA,0
"Dc01661","Dc10390",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc10878",0.56964,1,NA,NA,1,NA,0.13623,NA,1,0
"Dc01661","Dc10885",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc11203",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc11714",1,1,NA,NA,0.694308,1,0.646212,1,1,0
"Dc01661","Dc13159",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc13592",1,1,NA,NA,1,NA,0.281232,1,1,0
"Dc01661","Dc14022",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc14945",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc16747",0.760224,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc18951",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc20232",1,1,NA,NA,1,1,1,1,1,0
"Dc01661","Dc22883",0.358764,1,NA,NA,1,1,1,NA,1,0
"Dc01661","Dc22887",1,1,NA,NA,1,NA,1,0.860436,1,0
"Dc01661","Dc27955",0.57552,1,NA,NA,1,NA,0.632504,NA,1,0
"Dc01661","Dc28124",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc28776",1,0.882156,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc30071",0.572814,0.513492,NA,NA,1,NA,0.763172,0.563576,0.513492,0
"Dc01661","Dc31007",0.948696,NA,NA,NA,1,NA,1,NA,1,0
"Dc01661","Dc33714",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc33907",0.329244,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc34902",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc35779",1,1,NA,NA,1,1,1,1,1,0
"Dc01661","Dc36571",1,0.781522,1,NA,1,NA,0.781522,1,1,0
"Dc01661","Dc36616",1,1,NA,NA,1,1,0.48642,0.326144,1,0
"Dc01661","Dc40235",1,1,NA,NA,1,1,1,1,1,0
"Dc01661","Dc41234",1,0.437112,NA,NA,1,NA,NA,NA,1,0
"Dc01661","Dc46984",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc47935",1,0.89577,NA,NA,0.917768,NA,0.325452,1,1,0
"Dc01661","Dc48207",1,1,NA,NA,1,1,1,1,1,0
"Dc01661","Dc48950",1,1,NA,NA,1,1,1,1,1,0
"Dc01661","Dc49080",1,1,1,NA,1,NA,1,1,0.35,0
"Dc01661","Dc49184",0.488096,1,NA,NA,1,1,1,1,1,0
"Dc01661","Dc51020",1,1,NA,NA,1,NA,1,0.868332,1,0
"Dc01661","Dc52523",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","Dc55481",0.8598,1,NA,NA,1,NA,1,1,0.8598,0
"Dc01661","Dc58248",1,1,NA,1,1,NA,1,NA,1,0
"Dc01661","Dc62188",1,1,NA,1,0.49394,NA,0.124992,NA,1,0
"Dc01661","Dc67011",1,1,1,1,1,1,1,NA,1,0
"Dc01661","locus003",0.110376,0.647056,NA,0.647056,0.5014,NA,0.647056,NA,0.647056,0
"Dc01661","locus004",0.419928,0.9313,NA,1,1,NA,1,NA,1,0
"Dc01661","locus005",0.75306,1,1,1,1,NA,0.929304,NA,1,0
"Dc01661","locus006",1,1,NA,1,1,NA,1,NA,1,0
"Dc01661","locus008",0.300876,0.33805,NA,1,1,NA,0.374952,NA,1,0
"Dc01661","locus013",1,1,NA,1,0.682236,NA,1,NA,1,0
"Dc01661","locus014",1,1,NA,1,1,NA,0.585396,NA,1,0
"Dc01661","locus022",1,1,1,1,1,NA,1,NA,1,0
"Dc01661","locus024",1,1,NA,1,1,NA,0.496956,NA,1,0
"Dc01661","locus025",1,1,NA,1,1,NA,1,NA,1,0
"Dc01661","locus027",1,1,NA,NA,1,NA,NA,NA,NA,0
"Dc01661","locus030",1,1,NA,NA,1,1,1,NA,1,0
"Dc01661","locus035",1,1,1,NA,1,1,1,NA,1,0
"Dc01661","locus038",1,1,1,NA,1,1,1,NA,1,0
"Dc01661","locus039",1,1,NA,NA,1,NA,0.60067,NA,1,0
"Dc01661","locus040",0.540952,0.05756,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus041",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus045",1,0.57647,NA,NA,1,NA,0.762568,NA,1,0
"Dc01661","locus047",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus048",1,0.58524,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus053",0.46207,0.549952,NA,NA,1,NA,0.549952,NA,1,0
"Dc01661","locus055",0.12027,0.676572,NA,NA,1,NA,0.398384,NA,1,0
"Dc01661","locus056",1,1,1,1,0.85332,NA,0.662228,NA,1,0
"Dc01661","locus058",1,1,1,1,1,NA,1,NA,0.80395,0
"Dc01661","locus060",0.646944,0.76188,NA,1,0.76188,NA,0.76188,NA,1,0
"Dc01661","locus061",1,NA,NA,NA,0.572384,NA,1,NA,1,0
"Dc01661","locus062",1,1,NA,1,1,NA,0.147792,NA,1,0
"Dc01661","locus064",1,0.451304,NA,1,1,1,1,NA,1,0
"Dc01661","locus065",1,1,NA,0.86142,1,NA,1,NA,1,0
"Dc01661","locus073",1,1,NA,1,1,NA,1,NA,1,0
"Dc01661","locus074",1,1,1,1,1,NA,1,NA,1,0
"Dc01661","locus080",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus083",1,NA,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus088",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus093",1,1,1,NA,1,NA,1,NA,1,0
"Dc01661","locus096",1,1,1,NA,1,1,1,NA,1,0
"Dc01661","locus098",1,1,NA,NA,1,NA,0.82445,NA,1,0
"Dc01661","locus100",1,1,1,NA,1,NA,1,NA,1,0
"Dc01661","locus106",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus116",1,1,NA,NA,0.56683,NA,1,NA,1,0
"Dc01661","locus119",1,1,NA,NA,1,NA,0.765,NA,0.72671,0
"Dc01661","locus120",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus128",0.78571,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus129",1,1,NA,1,1,NA,1,NA,1,0
"Dc01661","locus130",0.747128,NA,NA,NA,1,NA,0.747128,NA,1,0
"Dc01661","locus134",1,1,NA,NA,1,1,1,NA,1,0
"Dc01661","locus135",1,1,NA,0.996786,1,1,1,NA,1,0
"Dc01661","locus137",1,1,NA,1,1,NA,1,NA,1,0
"Dc01661","locus139",1,1,NA,1,1,NA,1,NA,1,0
"Dc01661","locus140",1,1,NA,1,1,NA,1,NA,1,0
"Dc01661","locus146",1,1,NA,1,1,NA,1,NA,0.317496,0
"Dc01661","locus148",1,1,NA,1,1,NA,1,NA,1,0
"Dc01661","locus151",0.969152,NA,1,1,0.58191,NA,0.083448,NA,1,0
"Dc01661","locus157",1,NA,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus161",1,1,NA,1,1,NA,0.48606,NA,0.66722,0
"Dc01661","locus165",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus170",1,1,1,1,1,NA,1,NA,0.067424,0
"Dc01661","locus176",0.19468,NA,NA,NA,0.659564,NA,0.557124,NA,0.557124,0
"Dc01661","locus184",1,1,1,1,1,NA,1,NA,1,0
"Dc01661","locus186",1,0.454428,NA,1,1,NA,1,NA,1,0
"Dc01661","locus188",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus189",1,1,NA,0.471618,1,NA,1,1,1,0
"Dc01661","locus190",1,1,NA,NA,1,NA,1,0.288552,1,0
"Dc01661","locus191",1,NA,NA,NA,1,NA,1,1,1,0
"Dc01661","locus192",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","locus195",0.624132,1,NA,NA,1,NA,1,1,1,0
"Dc01661","locus202",1,0.826364,1,NA,1,NA,1,1,0.935784,0
"Dc01661","locus215",1,NA,NA,NA,1,NA,1,1,1,0
"Dc01661","locus227",1,1,1,NA,1,NA,1,1,1,0
"Dc01661","locus231",1,1,1,NA,1,NA,1,NA,1,0
"Dc01661","locus235",0.416988,1,NA,NA,1,NA,1,1,1,0
"Dc01661","locus236",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","locus237",1,1,NA,NA,1,NA,0.150168,1,1,0
"Dc01661","locus239",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","locus248",0.64289,1,NA,NA,1,NA,0.59394,1,1,0
"Dc01661","locus256",1,1,NA,NA,1,NA,1,1,1,0
"Dc01661","locus263",1,1,NA,NA,1,NA,0.45557,NA,0.798992,0
"Dc01661","locus264",0.927408,0.9537,NA,NA,1,NA,0.73082,NA,1,0
"Dc01661","locus274",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus280",1,1,NA,NA,1,NA,1,NA,0.84205,0
"Dc01661","locus282",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus286",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus291",1,0.48732,NA,NA,1,NA,0.814784,NA,1,0
"Dc01661","locus292",1,1,NA,NA,0.49512,NA,1,NA,1,0
"Dc01661","locus296",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus314",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus321",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus322",0.51755,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus323",0.615444,1,NA,NA,1,1,1,NA,1,0
"Dc01661","locus329",1,0.15454,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus332",1,0.880512,NA,NA,1,1,1,NA,1,0
"Dc01661","locus358",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus359",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01661","locus360",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01707","Dc01784",0.841918,0.841918,1,NA,1,NA,0.841918,1,0.841918,0
"Dc01707","Dc02951",1,1,1,NA,1,NA,1,1,1,0
"Dc01707","Dc03456",1,1,1,NA,1,1,1,1,1,0
"Dc01707","Dc03556",1,0.23996,1,NA,1,NA,1,1,1,0
"Dc01707","Dc06503",1,1,NA,NA,1,NA,1,NA,1,0
"Dc01707","Dc07300",1,1,NA,NA,1,NA,0.237432,1,1,0
"Dc01707","Dc07937",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc08054",0.671244,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc08189",1,1,NA,NA,1,NA,1,1,0.862872,0
"Dc01707","Dc08463",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc08865",0.477384,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc10003",1,NA,NA,NA,1,NA,0.369072,1,NA,0
"Dc01707","Dc10390",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc10878",1,1,NA,NA,0.23094,NA,1,NA,1,0
"Dc01707","Dc10885",1,1,NA,NA,1,1,1,1,1,0
"Dc01707","Dc11203",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc11714",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc13159",1,1,NA,NA,1,NA,0.343848,1,1,0
"Dc01707","Dc13592",1,0.1185,NA,NA,1,1,1,1,0.105714,0
"Dc01707","Dc14022",0.719628,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc14945",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc16747",1,1,NA,NA,0.505476,NA,0.70938,1,1,0
"Dc01707","Dc18951",1,0.54336,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc20232",1,1,NA,NA,1,1,1,1,1,0
"Dc01707","Dc22887",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc27955",0.77365,1,NA,NA,1,NA,0.77365,NA,1,0
"Dc01707","Dc28124",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc28776",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc30071",0.684048,1,NA,NA,1,1,0.554372,1,1,0
"Dc01707","Dc31007",1,NA,NA,NA,1,NA,0.825712,NA,1,0
"Dc01707","Dc33714",0.40978,0.923958,NA,NA,0.90916,NA,0.982644,0.923958,0.165132,0
"Dc01707","Dc33907",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc34902",1,1,NA,NA,1,1,1,1,1,0
"Dc01707","Dc36571",1,1,1,NA,1,NA,1,1,1,0
"Dc01707","Dc36616",1,0.590184,NA,NA,1,1,1,1,1,0
"Dc01707","Dc40235",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc41234",1,1,NA,NA,1,NA,NA,NA,1,0
"Dc01707","Dc46984",1,0.875388,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc47572",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc47935",0.818232,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc48207",0.693364,1,NA,NA,1,1,1,1,1,0
"Dc01707","Dc48950",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc49080",1,1,1,NA,1,1,0.06544,1,0.378924,0
"Dc01707","Dc49184",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc51020",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc52523",0.581088,1,NA,NA,0.581088,NA,1,1,1,0
"Dc01707","Dc55481",1,1,NA,NA,1,NA,1,1,1,0
"Dc01707","Dc58248",1,1,NA,1,1,1,1,NA,1,0
"Dc01707","Dc62188",1,1,NA,1,1,NA,1,NA,1,0
"Dc01707","Dc67011",1,0.912366,1,1,1,NA,1,NA,1,0
"Dc01707","locus003",1,1,NA,1,1,NA,1,NA,1,0
"Dc01707","locus005",1,0.951874,1,0.951874,1,NA,1,NA,1,0
"Dc01707","locus006",1,1,NA,1,1,NA,1,NA,1,0
"Dc01707","locus008",1,0.574356,NA,1,1,NA,1,NA,1,0
"Dc01707","locus013",1,1,NA,1,1,NA,1,NA,0.350736,0
"Dc01707","locus014",0.664224,1,NA,1,1,NA,1,NA,1,0
"Dc01707","locus022",1,1,1,1,1,1,1,NA,1,0
"Dc01707","locus024",0.249588,1,NA,1,0.42224,NA,1,NA,1,0
"Dc01707","locus025",1,1,NA,0.408396,1,NA,1,NA,1,0
"Dc01707","locus027",1,1,1,NA,1,NA,NA,NA,NA,0
"Dc01707","locus030",1,1,NA,NA,1,NA,0.94172,NA,1,0
"Dc01707","locus035",1,1,1,NA,0.657944,1,1,NA,1,0
"Dc01707","locus038",0.98849,0.447216,1,NA,1,NA,1,NA,1,0
"Dc01707","locus039",1,0.756232,NA,NA,1,NA,0.756232,NA,0.54168,0
"Dc01707","locus040",1,1,NA,NA,1,NA,1,NA,1,0
