"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"locus080","locus274",0.524478,1,NA,NA,0.014048,NA,1,1
"locus083","locus096",0.037326,NA,NA,NA,0.089984,NA,1,1
"locus096","locus189",0.880688,0.01139,NA,NA,0.880688,0.880688,0.880688,1
"locus098","locus191",0.845308,NA,NA,NA,0.0364,1,0.406794,1
"locus098","locus215",0.038336,NA,NA,NA,1,1,1,1
"locus100","locus134",0.818766,0.009496,NA,NA,0.938804,NA,0.938804,1
"locus100","locus148",0.305896,0.00272,NA,1,0.42174,NA,1,1
"locus100","locus236",1,0.398272,NA,NA,1,1,0.04023,1
"locus100","locus237",1,0.03746,NA,NA,1,0.189448,1,1
"locus100","locus286",1,1,NA,NA,1,NA,0.041832,1
"locus106","locus360",0.536288,1,NA,NA,0.01196,NA,0.398754,1
"locus116","locus119",0.00808,1,NA,NA,1,NA,1,1
"locus119","locus256",0.010904,1,NA,NA,1,NA,0.585126,1
"locus119","locus291",0.956922,0.956922,NA,NA,0.011816,NA,0.956922,1
"locus120","locus235",0.987728,0.03253,NA,NA,1,1,1,1
"locus128","locus176",0.05608,NA,NA,NA,0.047292,NA,1,1
"locus128","locus323",0.006264,0.728424,NA,NA,0.728424,NA,0.728424,1
"locus129","locus195",1,0.50964,1,NA,1,1,0.026748,1
"locus130","locus161",0.785812,NA,NA,NA,0.785812,NA,0.029142,1
"locus130","locus280",0.8009,NA,NA,NA,0.023658,NA,0.8009,1
"locus134","locus236",0.970096,0.00875,NA,NA,1,1,1,1
"locus134","locus274",0.019552,1,NA,NA,1,NA,1,1
"locus135","locus146",1,1,NA,1,0.02437,NA,1,1
"locus135","locus236",0.01278,1,NA,NA,1,1,1,1
"locus137","locus237",1,0.02692,NA,NA,1,1,1,1
"locus139","locus157",0.03363,NA,NA,NA,0.922188,NA,0.922188,1
"locus140","locus157",0.031332,NA,NA,NA,0.900152,NA,0.900152,1
"locus148","locus360",1,0.03656,NA,NA,1,NA,0.990342,1
"locus151","locus161",1,NA,NA,1,1,NA,0.034896,1
"locus151","locus176",0.012528,NA,NA,NA,1,NA,1,1
"locus157","locus292",0.045414,NA,NA,NA,1,NA,1,1
"locus161","locus176",0.727444,NA,NA,NA,0.017394,NA,0.727444,1
"locus161","locus321",1,0.328524,NA,NA,0.04552,NA,1,1
"locus165","locus188",0.04462,0.598192,1,NA,0.745806,NA,1,1
"locus165","locus215",1,NA,NA,NA,0.01088,1,1,1
"locus165","locus286",0.660186,1,NA,NA,1,NA,0.037408,1
"locus170","locus231",0.857916,0.032232,NA,NA,0.857916,NA,0.79203,1
"locus170","locus239",1,0.28752,NA,NA,1,1,0.02679,1
"locus184","locus227",1,1,1,NA,0.047304,1,1,1
"locus184","locus358",1,1,NA,NA,0.04956,NA,1,1
"locus186","locus322",0.009216,0.349356,NA,NA,0.493796,NA,0.493796,1
"locus186","locus329",0.013904,1,NA,NA,1,NA,1,1
"locus188","locus190",1,0,NA,NA,1,1,1,1
"locus188","locus292",0.20568,0.054252,NA,NA,0.015824,NA,0.90781,1
"locus189","locus237",1,1,NA,NA,0.01853,1,1,1
"locus190","locus321",1,0.040248,NA,NA,0.529164,NA,1,1
"locus190","locus323",0.332058,1,NA,NA,1,NA,0.012168,1
"locus191","locus264",0.80261,NA,NA,NA,0.464312,NA,0.03723,1
"locus191","locus280",0.130796,NA,NA,NA,0.039906,NA,0.700416,1
"locus202","locus248",1,1,NA,NA,0.00601,1,1,1
"locus202","locus291",1,1,NA,NA,0.013712,NA,1,1
"locus215","locus322",0.742574,NA,NA,NA,0.047178,NA,0.565124,1
"locus215","locus360",0.023316,NA,NA,NA,0.373932,NA,0.818556,1
"locus231","locus280",1,1,NA,NA,1,NA,0.031864,1
"locus231","locus314",1,0.0391,NA,1,1,NA,1,1
"locus231","locus332",1,0.007352,NA,NA,1,NA,1,1
"locus231","locus358",1,1,NA,NA,1,NA,0.032832,1
"locus235","locus286",0.187704,0.047448,NA,NA,1,NA,1,1
"locus236","locus321",0.489544,0.18237,NA,NA,0.023728,NA,0.489544,1
"locus237","locus280",1,0.032336,NA,NA,0.121398,NA,1,1
"locus237","locus358",0.031824,1,NA,NA,1,NA,1,1
"locus239","locus274",0.76965,0.179058,NA,NA,0.0204,NA,0.357756,1
"locus248","locus282",0.03423,1,1,NA,1,NA,1,1
"locus256","locus360",0.048272,0.397784,NA,NA,0.17895,NA,0.249888,1
"locus264","locus291",1,1,NA,NA,0.002128,NA,1,1
"locus274","locus322",1,0.008256,NA,NA,1,NA,0.475218,1
"locus282","locus321",1,0.509982,NA,NA,1,NA,0.0304,1
"locus282","locus360",1,1,NA,NA,0.045344,NA,0.881328,1
"locus296","locus329",0.560316,0.026392,NA,NA,1,NA,1,1
"locus314","locus322",1,0.022248,NA,NA,1,NA,0.162504,1
"locus314","locus323",0.00904,1,NA,NA,1,NA,0.6735,1
"locus323","locus360",1,1,NA,NA,0.000304,NA,1,1
"Dc01018","Dc01661",1,1,1,1,1,1,0.845012,0
"Dc01018","Dc01707",1,1,1,1,1,1,1,0
"Dc01018","Dc01784",0.364656,1,1,NA,1,1,1,0
"Dc01018","Dc02951",1,1,1,NA,1,1,1,0
"Dc01018","Dc03456",1,1,1,NA,1,1,1,0
"Dc01018","Dc03556",1,1,1,NA,1,1,1,0
"Dc01018","Dc06503",1,0.88799,1,NA,1,NA,1,0
"Dc01018","Dc07300",1,1,NA,NA,1,1,1,0
"Dc01018","Dc07937",0.30401,0.30401,NA,NA,1,1,1,0
"Dc01018","Dc08054",1,1,NA,NA,1,1,1,0
"Dc01018","Dc08189",1,0.799952,NA,NA,1,1,0.65946,0
"Dc01018","Dc08463",1,1,NA,NA,1,1,1,0
"Dc01018","Dc08865",1,1,NA,NA,1,1,1,0
"Dc01018","Dc10003",0.69843,NA,NA,NA,1,1,NA,0
"Dc01018","Dc10390",1,1,NA,NA,1,1,1,0
"Dc01018","Dc10878",1,1,NA,NA,1,NA,1,0
"Dc01018","Dc10885",0.56436,0.791064,NA,NA,1,1,1,0
"Dc01018","Dc11203",1,1,NA,NA,1,1,1,0
"Dc01018","Dc11714",0.62236,1,NA,NA,0.11547,1,0.62316,0
"Dc01018","Dc13159",1,1,NA,NA,1,1,1,0
"Dc01018","Dc13592",1,1,NA,NA,1,1,0.59443,0
"Dc01018","Dc14945",1,1,NA,NA,1,1,1,0
"Dc01018","Dc16747",1,1,NA,NA,0.32037,1,1,0
"Dc01018","Dc18951",1,1,NA,NA,1,1,1,0
"Dc01018","Dc20232",1,0.59981,NA,NA,1,1,1,0
"Dc01018","Dc22883",1,1,NA,NA,1,NA,1,0
"Dc01018","Dc22887",1,1,NA,NA,0.76352,1,1,0
"Dc01018","Dc27955",1,1,NA,NA,1,NA,1,0
"Dc01018","Dc28124",1,0.68503,NA,NA,1,1,1,0
"Dc01018","Dc28776",1,1,NA,NA,1,1,1,0
"Dc01018","Dc30071",1,1,NA,NA,1,1,1,0
"Dc01018","Dc31007",0.57828,NA,NA,NA,1,NA,1,0
"Dc01018","Dc33714",1,1,NA,NA,1,1,1,0
"Dc01018","Dc33907",1,1,NA,NA,1,1,1,0
"Dc01018","Dc34902",1,1,NA,NA,1,1,1,0
"Dc01018","Dc35779",1,1,NA,NA,1,1,1,0
"Dc01018","Dc36571",1,1,1,NA,0.734724,1,1,0
"Dc01018","Dc36616",1,1,NA,NA,1,1,1,0
"Dc01018","Dc40235",1,1,NA,NA,1,1,1,0
"Dc01018","Dc41234",1,0.719892,NA,NA,NA,NA,1,0
"Dc01018","Dc47572",0.611864,0.995742,NA,NA,0.3653,1,1,0
"Dc01018","Dc47935",1,1,NA,NA,1,1,1,0
"Dc01018","Dc48207",1,1,NA,NA,1,1,1,0
"Dc01018","Dc48950",1,1,NA,NA,1,1,1,0
"Dc01018","Dc49184",0.67871,0.67871,NA,NA,0.67871,1,1,0
"Dc01018","Dc51020",1,1,NA,NA,1,1,1,0
"Dc01018","Dc52523",1,0.486,NA,NA,0.486,1,1,0
"Dc01018","Dc55481",1,1,NA,NA,1,1,1,0
"Dc01018","Dc58248",1,0.25617,NA,1,1,NA,1,0
"Dc01018","Dc62188",1,1,NA,1,1,NA,1,0
"Dc01018","Dc67011",1,1,1,1,1,NA,1,0
"Dc01018","locus003",1,1,NA,1,1,NA,1,0
"Dc01018","locus005",1,1,1,1,1,NA,1,0
"Dc01018","locus006",1,1,NA,1,0.81034,NA,1,0
"Dc01018","locus008",1,1,NA,1,1,NA,1,0
"Dc01018","locus013",0.80229,1,NA,1,1,NA,1,0
"Dc01018","locus014",1,1,NA,1,1,NA,1,0
"Dc01018","locus022",1,1,1,1,1,NA,0.054288,0
"Dc01018","locus024",1,0.84701,NA,1,1,NA,0.84701,0
"Dc01018","locus025",0.99925,1,NA,1,1,NA,1,0
"Dc01018","locus027",0.727478,0.359096,NA,NA,NA,NA,NA,0
"Dc01018","locus030",0.994764,1,NA,NA,1,NA,0.3712,0
"Dc01018","locus035",1,1,1,NA,0.41896,NA,1,0
"Dc01018","locus038",1,1,1,NA,1,NA,0.89805,0
"Dc01018","locus039",1,0.188456,NA,NA,0.995892,NA,1,0
"Dc01018","locus040",1,1,NA,NA,1,NA,1,0
"Dc01018","locus041",0.8529,0.503584,NA,NA,1,NA,0.8529,0
"Dc01018","locus045",1,1,NA,NA,1,NA,1,0
"Dc01018","locus047",0.343992,1,NA,NA,1,NA,1,0
"Dc01018","locus048",0.374664,1,NA,NA,1,NA,0.817476,0
"Dc01018","locus053",1,1,NA,NA,1,NA,0.580248,0
"Dc01018","locus055",0.481048,1,NA,NA,1,NA,0.88089,0
"Dc01018","locus056",1,1,1,1,1,NA,1,0
"Dc01018","locus058",0.37808,0.080388,1,1,1,NA,1,0
"Dc01018","locus060",1,1,NA,1,1,NA,1,0
"Dc01018","locus061",1,NA,NA,NA,1,NA,1,0
"Dc01018","locus062",0.79413,0.591824,NA,1,0.07159,NA,1,0
"Dc01018","locus064",1,1,NA,1,1,NA,1,0
"Dc01018","locus065",1,1,NA,1,1,NA,1,0
"Dc01018","locus073",0.25014,1,NA,1,1,NA,1,0
"Dc01018","locus074",1,0.119796,1,1,1,NA,1,0
"Dc01018","locus076",1,1,NA,NA,1,NA,1,0
"Dc01018","locus077",1,1,NA,1,1,NA,1,0
"Dc01018","locus080",0.50806,1,NA,1,1,NA,1,0
"Dc01018","locus083",0.502122,NA,NA,NA,1,NA,1,0
"Dc01018","locus088",1,1,NA,NA,1,NA,0.122832,0
"Dc01018","locus093",1,1,1,NA,1,NA,1,0
"Dc01018","locus096",1,0.60149,1,NA,1,NA,1,0
"Dc01018","locus098",0.271912,1,NA,NA,0.685804,NA,0.6411,0
"Dc01018","locus100",1,1,1,NA,1,NA,1,0
"Dc01018","locus106",1,1,NA,NA,1,NA,1,0
"Dc01018","locus116",0.240536,0.70659,NA,NA,1,NA,1,0
"Dc01018","locus119",1,1,NA,NA,1,NA,1,0
"Dc01018","locus120",0.440088,1,NA,NA,1,NA,1,0
"Dc01018","locus128",0.759808,1,NA,NA,1,NA,1,0
"Dc01018","locus129",0.05304,1,NA,1,1,NA,1,0
"Dc01018","locus130",1,NA,NA,NA,1,NA,1,0
"Dc01018","locus134",0.324672,0.623676,NA,NA,0.228616,NA,0.542252,0
"Dc01018","locus135",1,0.1247,NA,1,0.1247,NA,1,0
"Dc01018","locus137",1,0.92659,NA,1,1,NA,1,0
"Dc01018","locus139",1,1,NA,1,0.50719,NA,1,0
"Dc01018","locus140",1,1,NA,1,0.50405,NA,1,0
"Dc01018","locus146",1,1,NA,1,1,NA,1,0
"Dc01018","locus148",1,1,NA,1,1,NA,1,0
"Dc01018","locus151",1,NA,1,0.82936,1,NA,1,0
"Dc01018","locus157",1,NA,NA,NA,1,NA,1,0
"Dc01018","locus161",1,1,NA,1,1,NA,1,0
"Dc01018","locus165",1,1,NA,NA,1,NA,1,0
"Dc01018","locus170",1,0.685104,1,0.83567,1,NA,1,0
"Dc01018","locus176",0.543018,NA,NA,NA,0.663398,NA,0.543018,0
"Dc01018","locus184",1,1,1,1,1,NA,1,0
"Dc01018","locus186",1,1,NA,1,1,NA,1,0
"Dc01018","locus188",1,1,NA,1,1,NA,1,0
"Dc01018","locus189",1,1,NA,1,1,1,1,0
"Dc01018","locus190",1,0.154,NA,NA,0.273344,1,1,0
"Dc01018","locus191",1,NA,NA,NA,1,1,0.060384,0
"Dc01018","locus192",1,1,NA,NA,1,1,1,0
"Dc01018","locus195",1,1,NA,NA,1,1,1,0
"Dc01018","locus202",1,1,1,NA,0.227064,1,1,0
"Dc01018","locus215",1,NA,NA,NA,1,1,1,0
"Dc01018","locus227",1,0.3898,1,NA,0.339852,1,1,0
"Dc01018","locus231",1,1,1,NA,1,NA,1,0
"Dc01018","locus235",1,1,NA,NA,0.39572,1,1,0
"Dc01018","locus236",1,1,NA,NA,1,1,1,0
"Dc01018","locus237",1,0.30705,NA,NA,0.71044,1,0.71044,0
"Dc01018","locus239",1,1,NA,NA,1,1,1,0
"Dc01018","locus248",0.82956,1,NA,NA,0.12539,1,0.262848,0
"Dc01018","locus256",1,0.22251,NA,NA,0.925848,1,1,0
"Dc01018","locus263",1,1,NA,NA,1,NA,1,0
"Dc01018","locus264",1,1,NA,NA,1,NA,1,0
"Dc01018","locus274",1,1,NA,NA,1,NA,1,0
"Dc01018","locus280",1,0.384224,NA,NA,0.384224,NA,1,0
"Dc01018","locus282",0.977148,0.655512,NA,NA,0.951618,NA,0.977148,0
"Dc01018","locus286",1,1,NA,NA,1,NA,1,0
"Dc01018","locus291",1,1,NA,NA,1,NA,1,0
"Dc01018","locus292",0.60424,1,NA,NA,1,NA,0.814962,0
"Dc01018","locus296",1,0.570192,NA,NA,1,NA,1,0
"Dc01018","locus301",1,1,NA,NA,1,NA,1,0
"Dc01018","locus314",0.360696,0.64659,NA,NA,0.998536,NA,1,0
"Dc01018","locus321",0.462688,1,NA,NA,1,NA,1,0
"Dc01018","locus322",1,1,NA,NA,1,NA,1,0
"Dc01018","locus323",1,1,NA,NA,1,NA,1,0
"Dc01018","locus329",1,1,NA,NA,0.832176,NA,1,0
"Dc01018","locus332",0.425248,1,NA,NA,0.425248,NA,1,0
"Dc01018","locus358",1,1,NA,NA,1,NA,1,0
"Dc01018","locus359",1,0.852128,NA,NA,0.852128,NA,1,0
"Dc01018","locus360",0.893964,0.605214,NA,NA,1,NA,0.359576,0
"Dc01661","Dc01707",1,1,1,NA,1,1,0.838116,0
"Dc01661","Dc01784",1,1,1,NA,0.43778,1,0.068892,0
"Dc01661","Dc02951",1,1,1,NA,1,1,0.296496,0
"Dc01661","Dc03456",1,1,1,NA,1,1,0.765144,0
"Dc01661","Dc03556",1,1,1,NA,1,1,1,0
"Dc01661","Dc06503",0.75818,0.788488,1,NA,1,NA,1,0
"Dc01661","Dc07300",1,1,NA,NA,1,1,1,0
"Dc01661","Dc07937",1,1,NA,NA,1,1,0.57881,0
"Dc01661","Dc08054",1,0.15147,NA,NA,1,1,1,0
"Dc01661","Dc08189",1,1,NA,NA,0.65765,1,1,0
"Dc01661","Dc08463",0.59201,1,NA,NA,0.59201,1,1,0
"Dc01661","Dc08865",0.82479,1,NA,NA,1,1,1,0
"Dc01661","Dc10003",0.665556,NA,NA,NA,0.679464,1,NA,0
"Dc01661","Dc10390",1,0.95403,NA,NA,1,1,1,0
"Dc01661","Dc10878",0.42723,0.687416,NA,NA,0.108984,NA,1,0
"Dc01661","Dc10885",1,1,NA,NA,1,1,1,0
"Dc01661","Dc11203",1,1,NA,NA,1,1,1,0
"Dc01661","Dc11714",0.805776,1,NA,NA,0.46158,1,1,0
"Dc01661","Dc13159",0.91352,1,NA,NA,1,1,1,0
"Dc01661","Dc13592",1,1,NA,NA,0.23436,1,1,0
"Dc01661","Dc14022",1,1,NA,NA,1,1,1,0
"Dc01661","Dc14945",1,1,NA,NA,1,1,1,0
"Dc01661","Dc16747",0.63352,1,NA,NA,1,1,1,0
"Dc01661","Dc18951",1,1,NA,NA,0.90522,1,1,0
"Dc01661","Dc20232",1,1,NA,NA,1,1,1,0
"Dc01661","Dc22883",0.239176,1,NA,NA,1,NA,1,0
"Dc01661","Dc22887",1,1,NA,NA,1,0.71703,1,0
"Dc01661","Dc27955",0.460416,0.69782,NA,NA,0.474378,NA,0.855084,0
"Dc01661","Dc28124",1,1,NA,NA,1,1,1,0
"Dc01661","Dc28776",1,0.73513,NA,NA,0.858904,1,1,0
"Dc01661","Dc30071",0.42791,0.42791,NA,NA,0.42791,0.42791,0.42791,0
"Dc01661","Dc31007",0.711522,NA,NA,NA,0.944192,NA,1,0
"Dc01661","Dc33714",1,0.915,NA,NA,1,1,1,0
"Dc01661","Dc33907",0.27437,1,NA,NA,1,1,1,0
"Dc01661","Dc34902",1,1,NA,NA,1,1,1,0
"Dc01661","Dc35779",1,1,NA,NA,1,1,1,0
"Dc01661","Dc36571",1,0.669876,1,NA,0.669876,1,1,0
"Dc01661","Dc36616",1,1,NA,NA,0.32428,0.23296,1,0
"Dc01661","Dc40235",1,1,NA,NA,1,1,1,0
"Dc01661","Dc41234",1,0.327834,NA,NA,NA,NA,1,0
"Dc01661","Dc46984",1,1,NA,NA,1,1,1,0
"Dc01661","Dc47935",1,0.716616,NA,NA,0.27121,1,1,0
"Dc01661","Dc48207",1,1,NA,NA,1,1,1,0
"Dc01661","Dc48950",1,1,NA,NA,1,1,1,0
"Dc01661","Dc49080",1,1,1,NA,1,1,0.3,0
"Dc01661","Dc49184",0.34864,0.967746,NA,NA,0.964656,1,0.967746,0
"Dc01661","Dc51020",1,1,NA,NA,1,0.72361,1,0
"Dc01661","Dc52523",1,1,NA,NA,1,1,1,0
"Dc01661","Dc55481",0.7165,1,NA,NA,1,1,0.7165,0
"Dc01661","Dc58248",1,1,NA,1,1,NA,1,0
"Dc01661","Dc62188",1,1,NA,1,0.10416,NA,1,0
"Dc01661","Dc67011",1,1,1,1,1,NA,1,0
"Dc01661","locus003",0.09198,0.647056,NA,0.647056,0.647056,NA,0.647056,0
"Dc01661","locus004",0.34994,0.74504,NA,1,1,NA,0.75873,0
"Dc01661","locus005",0.64548,1,1,1,0.77442,NA,1,0
"Dc01661","locus006",1,1,NA,1,1,NA,1,0
"Dc01661","locus008",0.25073,0.27044,NA,0.852156,0.281214,NA,0.852156,0
"Dc01661","locus013",1,1,NA,1,1,NA,1,0
"Dc01661","locus014",1,1,NA,1,0.48783,NA,1,0
"Dc01661","locus022",1,1,1,1,1,NA,1,0
"Dc01661","locus024",0.882872,1,NA,1,0.41413,NA,1,0
"Dc01661","locus025",1,1,NA,1,1,NA,1,0
"Dc01661","locus027",0.761182,0.74124,NA,NA,NA,NA,NA,0
"Dc01661","locus030",1,1,NA,NA,1,NA,1,0
"Dc01661","locus035",1,1,1,NA,0.76365,NA,1,0
"Dc01661","locus038",1,1,1,NA,1,NA,1,0
"Dc01661","locus039",1,1,NA,NA,0.480536,NA,1,0
"Dc01661","locus041",1,1,NA,NA,1,NA,1,0
"Dc01661","locus045",1,0.461176,NA,NA,0.571926,NA,1,0
"Dc01661","locus047",1,1,NA,NA,1,NA,1,0
"Dc01661","locus048",1,0.468192,NA,NA,1,NA,1,0
"Dc01661","locus053",0.369656,0.412464,NA,NA,0.412464,NA,0.583774,0
"Dc01661","locus055",0.096216,0.451048,NA,NA,0.298788,NA,0.699442,0
"Dc01661","locus056",1,1,1,1,0.567624,NA,1,0
"Dc01661","locus058",1,1,1,1,1,NA,0.6891,0
"Dc01661","locus060",0.53912,0.609504,NA,1,0.609504,NA,1,0
"Dc01661","locus061",1,NA,NA,NA,1,NA,1,0
"Dc01661","locus062",1,1,NA,1,0.12316,NA,1,0
"Dc01661","locus064",1,0.32236,NA,1,1,NA,1,0
"Dc01661","locus065",1,1,NA,0.71785,1,NA,1,0
"Dc01661","locus073",1,1,NA,1,1,NA,1,0
"Dc01661","locus074",1,1,1,1,1,NA,1,0
"Dc01661","locus080",1,1,NA,NA,1,NA,1,0
"Dc01661","locus083",1,NA,NA,NA,1,NA,1,0
"Dc01661","locus088",1,1,NA,NA,1,NA,1,0
"Dc01661","locus093",1,1,1,NA,1,NA,1,0
"Dc01661","locus096",1,0.82328,1,NA,1,NA,1,0
"Dc01661","locus098",1,1,NA,NA,0.65956,NA,1,0
"Dc01661","locus100",1,1,1,NA,1,NA,0.98694,0
"Dc01661","locus106",1,1,NA,NA,1,NA,1,0
"Dc01661","locus116",1,1,NA,NA,1,NA,1,0
"Dc01661","locus119",0.981666,0.783852,NA,NA,0.581368,NA,0.581368,0
"Dc01661","locus120",1,1,NA,NA,1,NA,1,0
"Dc01661","locus128",0.628568,1,NA,NA,1,NA,1,0
"Dc01661","locus129",1,1,NA,1,1,NA,1,0
"Dc01661","locus130",0.560346,NA,NA,NA,0.560346,NA,0.708562,0
"Dc01661","locus134",0.904782,1,NA,NA,0.827096,NA,1,0
"Dc01661","locus135",1,1,NA,0.71199,1,NA,1,0
"Dc01661","locus137",1,1,NA,1,1,NA,1,0
"Dc01661","locus139",1,1,NA,1,1,NA,1,0
"Dc01661","locus140",1,1,NA,1,1,NA,1,0
"Dc01661","locus146",1,1,NA,1,1,NA,0.26458,0
"Dc01661","locus148",1,1,NA,1,1,NA,1,0
"Dc01661","locus151",0.969152,NA,1,1,0.06954,NA,1,0
"Dc01661","locus157",1,NA,NA,NA,1,NA,1,0
"Dc01661","locus161",1,1,NA,1,0.40505,NA,0.533776,0
"Dc01661","locus165",1,1,NA,NA,1,NA,1,0
"Dc01661","locus170",1,1,1,1,1,NA,0.057792,0
"Dc01661","locus176",0.14601,NA,NA,NA,0.371416,NA,0.371416,0
"Dc01661","locus184",1,1,1,1,1,NA,1,0
"Dc01661","locus186",1,0.37869,NA,1,1,NA,1,0
"Dc01661","locus188",1,1,NA,NA,1,NA,1,0
"Dc01661","locus189",1,1,NA,0.404244,1,1,1,0
"Dc01661","locus190",1,1,NA,NA,1,0.24046,1,0
"Dc01661","locus191",0.908304,NA,NA,NA,1,1,1,0
"Dc01661","locus192",1,1,NA,NA,1,1,1,0
"Dc01661","locus195",0.52011,1,NA,NA,1,1,1,0
"Dc01661","locus202",1,0.708312,1,NA,1,1,0.77982,0
"Dc01661","locus215",1,NA,NA,NA,1,1,0.904504,0
"Dc01661","locus227",1,1,1,NA,1,1,1,0
"Dc01661","locus231",1,1,1,NA,1,NA,1,0
"Dc01661","locus235",0.34749,1,NA,NA,1,1,1,0
"Dc01661","locus236",1,1,NA,NA,1,1,1,0
"Dc01661","locus237",0.903808,1,NA,NA,0.12514,1,1,0
"Dc01661","locus239",1,1,NA,NA,1,1,1,0
"Dc01661","locus248",0.514312,1,NA,NA,0.49495,1,1,0
"Dc01661","locus256",1,1,NA,NA,1,1,1,0
"Dc01661","locus263",0.81204,0.81204,NA,NA,0.364456,NA,0.599244,0
"Dc01661","locus264",0.695556,0.695556,NA,NA,0.584656,NA,1,0
"Dc01661","locus274",1,1,NA,NA,1,NA,1,0
"Dc01661","locus280",0.94203,1,NA,NA,1,NA,0.67364,0
"Dc01661","locus282",1,1,NA,NA,1,NA,1,0
"Dc01661","locus286",1,1,NA,NA,1,NA,1,0
"Dc01661","locus291",1,0.389856,NA,NA,0.611088,NA,1,0
"Dc01661","locus292",1,1,NA,NA,1,NA,1,0
"Dc01661","locus296",1,1,NA,NA,1,NA,1,0
"Dc01661","locus314",1,1,NA,NA,1,NA,1,0
"Dc01661","locus321",1,1,NA,NA,1,NA,1,0
"Dc01661","locus322",0.41404,1,NA,NA,1,NA,1,0
"Dc01661","locus323",0.410296,1,NA,NA,1,NA,1,0
"Dc01661","locus329",1,0.123632,NA,NA,1,NA,1,0
"Dc01661","locus332",1,0.587008,NA,NA,1,NA,1,0
"Dc01661","locus358",1,1,NA,NA,1,NA,1,0
"Dc01661","locus359",0.971696,1,NA,NA,0.971696,NA,1,0
"Dc01661","locus360",1,1,NA,NA,1,NA,1,0
"Dc01707","Dc01784",0.721644,0.721644,0.976,NA,0.721644,0.976,0.721644,0
"Dc01707","Dc02951",1,1,1,NA,1,1,1,0
"Dc01707","Dc03456",1,1,1,NA,1,1,1,0
"Dc01707","Dc03556",1,0.20568,1,NA,1,1,1,0
"Dc01707","Dc06503",1,1,NA,NA,1,NA,1,0
"Dc01707","Dc07300",1,0.97148,NA,NA,0.19786,1,1,0
"Dc01707","Dc07937",1,1,NA,NA,1,1,1,0
"Dc01707","Dc08054",0.55937,1,NA,NA,0.902048,1,0.902048,0
"Dc01707","Dc08189",1,1,NA,NA,1,1,0.71906,0
"Dc01707","Dc08463",1,1,NA,NA,1,1,1,0
"Dc01707","Dc08865",0.39782,1,NA,NA,0.956928,1,1,0
"Dc01707","Dc10003",1,NA,NA,NA,0.276804,1,NA,0
"Dc01707","Dc10390",1,1,NA,NA,1,1,1,0
"Dc01707","Dc10878",1,1,NA,NA,1,NA,1,0
"Dc01707","Dc10885",0.90656,1,NA,NA,1,1,1,0
"Dc01707","Dc11203",1,1,NA,NA,1,1,1,0
"Dc01707","Dc11714",1,1,NA,NA,1,1,1,0
"Dc01707","Dc13159",1,1,NA,NA,0.28654,1,1,0
"Dc01707","Dc13592",0.675774,0.079,NA,NA,1,1,0.07551,0
"Dc01707","Dc14022",0.59969,1,NA,NA,1,1,1,0
"Dc01707","Dc14945",1,1,NA,NA,0.88683,1,1,0
"Dc01707","Dc16747",1,1,NA,NA,0.70938,1,1,0
"Dc01707","Dc18951",1,0.4528,NA,NA,1,1,1,0
"Dc01707","Dc20232",1,0.94733,NA,NA,1,1,1,0
"Dc01707","Dc22887",1,1,NA,NA,1,1,1,0
"Dc01707","Dc27955",0.61892,1,NA,NA,0.61892,NA,1,0
"Dc01707","Dc28124",1,1,NA,NA,1,1,1,0
"Dc01707","Dc28776",1,1,NA,NA,1,1,1,0
"Dc01707","Dc30071",0.456032,1,NA,NA,0.39598,1,1,0
"Dc01707","Dc31007",1,NA,NA,NA,0.619284,NA,1,0
"Dc01707","Dc33714",0.327824,0.923958,NA,NA,0.982644,0.923958,0.13761,0
"Dc01707","Dc33907",1,1,NA,NA,1,1,1,0
"Dc01707","Dc34902",1,1,NA,NA,1,1,1,0
"Dc01707","Dc36571",1,1,1,NA,1,1,1,0
"Dc01707","Dc36616",1,0.42156,NA,NA,0.873128,1,1,0
"Dc01707","Dc40235",1,1,NA,NA,1,1,1,0
"Dc01707","Dc41234",1,1,NA,NA,NA,NA,1,0
"Dc01707","Dc46984",1,0.72949,NA,NA,1,1,1,0
"Dc01707","Dc47572",1,1,NA,NA,1,1,1,0
"Dc01707","Dc47935",0.68186,1,NA,NA,1,1,1,0
"Dc01707","Dc48207",0.49526,1,NA,NA,1,1,1,0
"Dc01707","Dc48950",1,1,NA,NA,0.90584,1,1,0
"Dc01707","Dc49184",1,1,NA,NA,1,1,1,0
"Dc01707","Dc51020",1,1,NA,NA,1,1,1,0
"Dc01707","Dc52523",0.48424,1,NA,NA,1,1,1,0
"Dc01707","Dc55481",1,1,NA,NA,1,1,1,0
"Dc01707","Dc58248",1,1,NA,1,1,NA,1,0
"Dc01707","Dc62188",1,1,NA,1,1,NA,1,0
"Dc01707","Dc67011",1,0.782028,1,1,1,NA,1,0
"Dc01707","locus003",1,1,NA,1,1,NA,1,0
"Dc01707","locus005",1,0.815892,1,0.815892,1,NA,1,0
"Dc01707","locus006",1,1,NA,1,1,NA,1,0
"Dc01707","locus008",1,0.47863,NA,1,1,NA,1,0
"Dc01707","locus013",0.982552,1,NA,1,1,NA,0.29228,0
