"Locus.1","Locus.2","p.val.Bird's Head-Summer","p.val.Bird's Head-Winter","p.val.HaevoSI-Summer","p.val.HaevoSI-Winter","p.val.IsabelSI-South","p.val.Malaysia","p.val.PNG","num.sig.p"
"Dc01661","locus237",0.225952,0.37509,NA,NA,0.025028,1,0.438682,1
"Dc01661","locus239",0.702114,0.8337,NA,NA,0.898626,1,0.253274,0
"Dc01661","locus248",0.128578,0.776146,NA,NA,0.09899,1,0.443296,0
"Dc01661","locus256",0.700656,0.297358,NA,NA,0.614616,1,0.942506,0
"Dc01661","locus263",0.531842,0.40602,NA,NA,0.091114,NA,0.199748,0
"Dc01661","locus264",0.231852,0.3179,NA,NA,0.146164,NA,1,0
"Dc01661","locus274",0.268006,0.345826,NA,NA,0.849888,NA,0.726694,0
"Dc01661","locus280",0.31401,0.93668,NA,NA,0.7842,NA,0.16841,0
"Dc01661","locus282",0.638522,0.332654,NA,NA,0.757674,NA,0.424132,0
"Dc01661","locus286",0.721684,0.453168,NA,NA,0.42422,NA,0.312858,0
"Dc01661","locus291",0.806704,0.097464,NA,NA,0.203696,NA,0.915218,0
"Dc01661","locus292",0.614876,0.519642,NA,NA,0.760452,NA,1,0
"Dc01661","locus296",0.881418,0.342522,NA,NA,0.948862,NA,0.438602,0
"Dc01661","locus301",0.004066,0.888314,NA,NA,0.88071,NA,1,1
"Dc01661","locus314",0.410122,0.818288,NA,NA,1,NA,0.814746,0
"Dc01661","locus321",0.914132,0.688872,NA,NA,0.394324,NA,0.376568,0
"Dc01661","locus322",0.10351,0.674748,NA,NA,0.517468,NA,0.382026,0
"Dc01661","locus323",0.102574,0.649148,NA,NA,0.48466,NA,0.625346,0
"Dc01661","locus329",0.39457,0.030908,NA,NA,0.509098,NA,0.3665,1
"Dc01661","locus332",0.9214,0.146752,NA,NA,0.840256,NA,0.832852,0
"Dc01661","locus358",0.362454,0.530916,NA,NA,0.60183,NA,0.858554,0
"Dc01661","locus359",0.308732,0.759114,NA,NA,0.242924,NA,1,0
"Dc01661","locus360",0.66169,0.696532,NA,NA,0.862704,NA,1,0
"Dc01707","Dc01784",0.167046,0.187294,0.501458,NA,0.122704,0.488,0.120274,0
"Dc01707","Dc02951",0.19006,0.30105,1,NA,0.978996,0.432634,0.376118,0
"Dc01707","Dc03456",0.899512,0.48681,1,NA,0.528218,0.540618,0.444678,0
"Dc01707","Dc03556",0.307868,0.03428,1,NA,0.424736,1,1,1
"Dc01707","Dc06503",0.707584,0.623764,NA,NA,0.266168,NA,0.624064,0
"Dc01707","Dc07300",0.504304,0.24287,NA,NA,0.039572,0.831408,0.925666,1
"Dc01707","Dc07937",0.264514,0.74168,NA,NA,0.74109,1,0.871702,0
"Dc01707","Dc08054",0.111874,0.967152,NA,NA,0.252178,1,0.225512,0
"Dc01707","Dc08189",0.636072,0.791338,NA,NA,0.833504,0.599422,0.143812,0
"Dc01707","Dc08463",0.870576,0.224914,NA,NA,0.376024,1,0.416688,0
"Dc01707","Dc08865",0.079564,0.691134,NA,NA,0.239232,1,0.97831,0
"Dc01707","Dc10003",0.779232,NA,NA,NA,0.092268,Inf,NA,0
"Dc01707","Dc10390",0.556618,0.83092,NA,NA,0.657318,Inf,0.926764,0
"Dc01707","Dc10878",0.319074,0.525728,NA,NA,0.599796,NA,0.904716,0
"Dc01707","Dc10885",0.181312,0.94298,NA,NA,0.554822,0.377202,0.860016,0
