Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
102605	5	1	180	13	3	46	3	2	9	17	2	8	12	340	X	X	10	2	3	27	705	22	129	2	5	4	X	5	2	2	1	2	259
16887	7	X	13	16	3	15	X	7	5	4	2	9	3	244	X	X	X	6	X	14	411	14	114	2	2	3	X	5	1	7	1	2	180
12486	12	5	8	13	2	8	3	9	6	4	1	12	2	250	1	X	2	8	17	14	576	25	93	2	1	X	X	3	X	X	4	6	201
117089	X	X	X	X	X	1	X	X	X	X	X	X	X	1	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X	X	X	X
216913	3	X	2	X	X	1	X	X	3	1	X	1	9	80	1	X	2	1	X	1	21	3	20	X	X	12	X	2	X	1	X	X	33
32030	1	X	X	8	X	2	X	1	1	X	X	4	1	78	X	X	X	X	1	1	78	11	18	1	X	25	X	2	X	1	X	2	53
37465	X	X	X	X	X	2	X	X	X	X	X	X	X	1	X	X	X	1	1	1	2	X	1	X	X	X	X	X	X	X	X	X	1
216909	1	X	X	1	X	4	X	X	5	X	1	1	X	5	X	X	4	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X	1
37419	11	X	3	7	3	12	1	2	4	7	1	9	12	311	4	X	10	4	2	16	977	8	110	2	2	72	X	6	2	2	X	7	285
6799	16	7	187	95	4	29	3	4	15	27	13	16	19	488	X	X	12	9	20	14	786	70	176	4	5	209	X	9	3	5	7	14	364
12504	5	1	1	10	5	10	1	5	5	21	7	3	12	240	X	X	9	2	4	4	476	15	93	5	2	2	X	3	3	X	X	4	169
178014	9	X	7	12	X	19	2	10	6	20	2	15	16	506	2	X	4	9	1	13	572	11	136	5	3	5	X	16	4	1	2	11	310
216921	2	X	1	1	X	3	X	X	8	1	X	X	3	14	X	X	16	X	2	4	8	X	3	X	1	X	X	X	X	X	X	2	6
216915	X	X	X	X	X	8	2	X	X	X	X	1	1	24	1	X	3	1	1	X	4	X	3	X	X	X	X	1	X	X	X	1	9
12502	3	X	1	9	3	32	X	1	9	3	X	2	X	59	1	X	6	2	X	2	165	12	32	X	2	7	X	X	X	X	X	3	47
61467	16	4	18	20	1	11	3	8	5	14	8	22	6	516	X	X	3	18	3	56	1650	54	165	3	2	4	X	11	2	25	1	20	495
216924	X	X	1	X	X	X	X	X	1	1	X	2	1	23	X	X	7	X	1	2	12	2	2	2	X	X	X	X	X	X	X	1	8
134087	8	X	X	8	1	12	X	12	9	2	1	9	2	138	X	X	2	1	2	9	505	6	58	X	X	2	X	5	X	1	X	3	155
134066	9	4	5	21	6	8	8	8	10	11	X	7	3	114	1	X	10	6	9	23	484	23	67	X	10	8	X	1	1	X	1	6	151
216910	X	X	X	X	X	3	X	X	2	2	X	1	1	30	X	X	2	X	X	1	11	1	1	X	X	X	X	X	X	X	X	X	13
76703	2	X	4	8	3	8	X	1	3	4	X	2	8	147	1	X	7	1	1	9	312	9	61	1	3	4	X	X	2	3	1	2	94
12480	6	X	6	9	4	20	2	11	3	9	1	9	4	338	X	X	7	10	20	51	1268	20	148	2	1	48	X	8	1	1	2	5	293
216908	1	X	X	X	X	7	X	X	1	X	X	X	2	15	1	X	6	X	1	1	17	X	3	X	X	X	X	2	X	X	X	1	8
12499	5	2	4	28	1	18	1	2	10	14	X	10	17	226	X	X	5	5	6	10	424	30	118	3	7	66	X	9	2	5	X	3	198
6802	13	2	9	63	3	20	3	16	12	18	2	23	9	582	4	X	11	15	2	24	1300	53	212	5	4	130	X	14	1	11	2	24	436
61464	X	2	10	11	X	2	1	2	2	19	X	10	12	446	1	X	2	3	X	6	633	17	85	4	1	5	X	8	2	3	6	6	226
216920	X	X	X	1	X	10	X	X	1	X	X	1	X	12	X	X	2	X	X	2	13	1	8	X	1	X	X	X	X	X	X	1	8
12485	10	2	5	41	3	29	2	X	4	22	3	11	9	252	1	X	18	7	2	17	522	29	123	2	2	68	X	4	X	7	X	9	217
216914	1	X	1	X	1	4	X	X	1	X	1	1	2	25	X	X	X	1	X	1	10	1	3	X	X	1	X	1	X	X	1	X	12
12503	2	X	5	16	1	19	1	2	6	6	1	6	4	148	X	X	6	3	3	3	371	15	73	X	4	X	X	X	X	3	X	3	141
16884	15	X	316	31	7	33	1	10	9	18	X	32	20	635	1	X	3	11	1	17	1532	48	185	4	4	5	X	7	2	2	2	16	536
76699	7	X	X	6	1	9	X	2	5	14	X	8	5	196	X	X	7	3	1	4	464	18	71	4	X	4	X	4	X	3	1	5	158
37464	5	X	3	6	2	14	X	4	3	5	X	4	5	264	X	X	4	3	2	4	706	16	100	1	1	52	X	1	X	1	X	3	212
216925	X	1	X	X	X	1	X	X	1	X	X	X	1	11	X	X	5	X	X	X	3	X	2	X	X	X	X	X	X	X	X	X	1
62622	12	1	8	48	5	78	4	4	32	24	1	21	14	303	X	X	37	5	8	17	428	34	132	4	9	9	X	7	1	X	1	7	164
216911	X	X	X	X	X	X	X	X	X	X	X	2	2	9	X	X	2	1	1	1	9	X	6	X	X	X	X	X	X	X	X	X	2
6803	11	1	15	21	7	26	3	4	4	14	4	19	7	394	1	X	3	21	29	16	1151	17	175	2	6	2	X	5	1	1	X	12	370
76707	9	X	5	22	X	15	5	6	6	5	1	8	4	267	X	X	6	7	2	13	388	23	110	4	3	X	X	8	2	5	1	5	183
26458	2	3	2	7	1	17	2	4	3	6	1	10	2	240	1	X	1	4	X	25	735	16	82	2	3	80	X	4	X	9	X	6	226
12484	9	X	16	16	4	10	2	1	2	12	2	24	8	257	X	X	X	15	X	8	707	18	104	3	X	2	X	4	X	X	X	11	253
16885	15	1	10	18	1	17	2	4	2	10	1	15	5	406	X	X	2	13	X	10	645	24	145	1	3	116	X	6	X	1	X	11	227
12481	18	3	8	32	4	22	2	10	5	6	X	21	9	516	X	X	3	13	1	23	1459	35	189	5	2	99	X	12	1	2	X	12	481
134101	5	X	4	9	1	9	1	3	4	5	1	8	6	266	X	X	X	8	X	11	637	13	86	6	X	2	X	5	4	1	1	4	216
62627	13	1	10	28	2	52	4	5	24	24	1	11	9	256	1	X	22	3	2	14	652	29	110	4	14	1	X	4	3	1	1	8	237
