Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	355	33	140	31	72	191	32	547	49	199	92	124	34	1	58	X	2	269	6	608	X	173	17	68	8	39	X	36	33	4	7	79	X
	286	122	142	122	40	260	127	248	172	328	162	68	96	X	129	X	26	262	2	349	X	120	15	147	12	34	X	44	52	10	29	64	X
	634	86	284	94	66	292	72	1034	140	438	207	205	73	X	123	X	2	586	10	1536	X	250	25	155	13	85	X	69	70	31	21	99	X
	287	89	112	111	36	434	141	297	168	208	169	127	123	X	214	X	18	208	4	279	X	127	12	126	7	68	X	41	38	2	31	32	1
	582	103	307	151	71	507	178	521	252	635	254	146	169	2	229	X	15	501	4	787	X	247	27	225	11	86	X	55	108	7	32	128	1
	548	55	235	80	63	300	60	826	104	342	147	161	64	3	108	X	4	504	7	1409	X	289	26	124	6	28	X	43	37	7	10	137	X
	665	68	246	102	30	389	65	1115	125	424	135	212	88	1	107	X	2	525	8	1769	X	213	18	146	3	79	X	53	101	96	8	141	1
	268	38	75	55	42	108	53	185	72	250	127	36	64	X	62	X	5	206	3	335	1	89	11	50	4	30	X	16	25	18	8	35	X
	253	36	111	55	34	122	58	181	72	205	112	65	50	X	79	X	6	222	1	285	1	83	14	78	4	X	X	19	30	1	9	34	X
	418	108	230	143	69	429	119	401	235	521	186	160	121	1	180	X	19	438	11	604	X	208	20	193	14	100	X	59	99	10	28	100	X
	550	53	242	88	51	357	74	848	119	474	174	124	77	1	120	X	6	508	23	1569	X	248	18	164	8	35	X	49	59	12	20	186	X
	234	41	63	63	43	176	79	319	78	221	141	81	75	X	102	X	7	237	4	349	1	117	11	86	8	39	X	21	34	23	15	55	X
	287	30	78	49	7	435	152	486	110	71	251	131	152	X	209	X	18	124	5	41	X	182	5	167	1	18	X	56	102	114	25	51	X
	157	6	10	48	1	1690	280	1943	114	5	122	575	221	X	426	X	16	152	12	16	X	371	1	624	2	143	X	142	162	292	71	158	X
	X	X	X	1	X	X	X	X	X	X	X	X	X	X	1	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
	375	43	180	61	49	208	38	503	94	320	126	117	49	1	75	X	7	346	7	740	X	179	22	107	4	47	X	37	47	15	11	79	X
	417	101	206	129	61	428	152	353	164	391	210	104	131	3	228	X	24	303	7	405	X	194	31	223	16	91	X	33	97	5	27	108	X
	195	140	162	166	37	324	162	131	237	227	165	85	155	1	125	X	56	158	2	210	X	147	16	132	31	74	X	55	87	3	44	54	1
	160	39	55	46	16	140	49	244	44	124	87	56	52	1	69	X	1	151	5	235	X	87	7	61	4	10	X	26	26	3	9	28	X
	343	49	151	77	63	198	76	278	81	276	156	77	53	2	126	X	11	278	1	396	X	156	16	90	3	21	X	31	42	5	21	33	X
	477	131	275	167	69	456	191	442	189	442	311	142	144	1	269	X	22	412	10	449	X	312	37	274	12	140	X	41	99	2	43	89	X
	313	65	139	80	40	249	58	260	90	273	129	38	63	X	121	X	5	229	11	381	2	134	17	101	11	X	X	28	67	4	18	41	X
	115	27	53	39	8	187	50	124	39	107	58	43	38	X	77	X	9	73	3	107	X	51	3	65	4	16	X	11	35	1	10	36	X
